timestamp,open,high,low,close,volume
2020-09-25 19:59:00,112.1200,112.1500,112.1200,112.1500,7899
2020-09-25 19:57:00,112.0400,112.1000,112.0400,112.1000,3680
2020-09-25 19:55:00,112.0000,112.0200,111.9800,112.0200,4108
2020-09-25 19:53:00,112.0000,112.0400,112.0000,112.0000,3432
2020-09-25 19:51:00,112.0800,112.0800,112.0201,112.0500,1516
2020-09-25 19:49:00,112.0600,112.0800,112.0500,112.0800,2829
2020-09-25 19:47:00,112.0400,112.0400,112.0400,112.0400,823
2020-09-25 19:45:00,111.9500,112.0000,111.9500,112.0000,9797
2020-09-25 19:43:00,111.9600,111.9600,111.9500,111.9500,958
2020-09-25 19:41:00,111.9500,111.9800,111.9500,111.9500,5219
2020-09-25 19:39:00,111.9500,111.9700,111.9500,111.9700,2053
2020-09-25 19:37:00,111.9500,111.9500,111.9500,111.9500,522
2020-09-25 19:35:00,111.9800,111.9900,111.9500,111.9500,7325
2020-09-25 19:32:00,111.9900,111.9900,111.9700,111.9900,2247
2020-09-25 19:30:00,111.9700,111.9800,111.9600,111.9700,1454
2020-09-25 19:28:00,111.9800,111.9800,111.9700,111.9700,517
2020-09-25 19:26:00,111.9600,111.9700,111.9600,111.9700,1687
2020-09-25 19:24:00,111.9800,111.9800,111.9800,111.9800,454
2020-09-25 19:22:00,111.9600,111.9800,111.9400,111.9400,827
2020-09-25 19:19:00,111.9600,111.9600,111.9600,111.9600,561
2020-09-25 19:16:00,112.0000,112.0000,111.9800,111.9800,824
2020-09-25 19:14:00,111.9700,111.9900,111.9700,111.9900,1159
2020-09-25 19:12:00,111.9800,111.9900,111.9800,111.9800,5235
2020-09-25 19:10:00,111.9800,112.0000,111.9800,112.0000,1606
2020-09-25 19:08:00,111.9000,111.9200,111.9000,111.9200,639
2020-09-25 19:06:00,111.9000,111.9000,111.9000,111.9000,635
2020-09-25 19:04:00,111.8900,111.9000,111.8900,111.9000,1197
2020-09-25 19:02:00,111.8800,111.8900,111.8800,111.8900,876
2020-09-25 19:00:00,111.8800,111.8800,111.8600,111.8600,552
2020-09-25 18:58:00,111.8500,111.8500,111.8500,111.8500,194
2020-09-25 18:56:00,111.9000,111.9000,111.9000,111.9000,956
2020-09-25 18:53:00,111.9500,111.9500,111.8900,111.8900,372
2020-09-25 18:51:00,111.9500,111.9600,111.8800,111.8800,929
2020-09-25 18:49:00,111.9500,111.9600,111.9500,111.9600,1047
2020-09-25 18:47:00,111.8400,111.9300,111.8200,111.9300,5211
2020-09-25 18:45:00,111.8300,111.8600,111.8300,111.8600,4214
2020-09-25 18:42:00,111.8400,111.8400,111.8400,111.8400,609
2020-09-25 18:40:00,111.8000,111.8400,111.7900,111.8400,2022
2020-09-25 18:38:00,111.7200,111.7400,111.7200,111.7200,902
2020-09-25 18:36:00,111.7100,111.7500,111.7100,111.7500,1842
2020-09-25 18:34:00,111.7500,111.7600,111.7500,111.7500,5355
2020-09-25 18:32:00,111.7500,111.7600,111.7500,111.7600,1988
2020-09-25 18:30:00,111.7900,111.8000,111.7900,111.8000,1435
2020-09-25 18:28:00,111.8300,111.8300,111.8000,111.8000,4353
2020-09-25 18:26:00,111.7800,111.8000,111.7800,111.7900,2682
2020-09-25 18:24:00,111.8500,111.8500,111.8100,111.8200,4230
2020-09-25 18:22:00,111.8000,111.8200,111.8000,111.8200,2953
2020-09-25 18:20:00,111.7700,111.8600,111.7700,111.8501,5959
2020-09-25 18:18:00,111.6900,111.7800,111.6900,111.7500,8456
